Title,Year,Score,Runtime,Genre,Rating
Four Adventures of Reinette and Mirabelle,1987,7.9,95,Comedy,NOT RATED
Beyond Therapy,1987,4.7,93,Comedy,R
Beetlejuice,1988,7.5,92,Comedy,PG
Coming to America,1988,7,116,Comedy,R
Child's Play,1988,6.6,87,Horror,R
Die Hard,1988,8.2,131,Action,R
Willow,1988,7.3,126,Action,PG
Heathers,1988,7.3,103,Comedy,R
Rain Man,1988,8,133,Drama,R
They Live,1988,7.3,94,Action,R
Who Framed Roger Rabbit,1988,7.7,104,Animation,PG
Akira,1988,8.1,124,Animation,R
Big,1988,7.3,104,Comedy,PG
Cocktail,1988,5.8,104,Comedy,R
Cinema Paradiso,1988,8.5,155,Drama,R
The Blob,1988,6.4,95,Horror,R
Pumpkinhead,1988,6.2,86,Fantasy,R
A Fish Called Wanda,1988,7.6,108,Comedy,R
Killer Klowns from Outer Space,1988,6.1,88,Comedy,PG-13
Midnight Run,1988,7.6,126,Action,R
Hellbound: Hellraiser II,1988,6.5,97,Horror,R
Mississippi Burning,1988,7.8,128,Crime,R
The Naked Gun: From the Files of Police Squad!,1988,7.6,85,Comedy,PG-13
Bloodsport,1988,6.8,92,Action,R
Working Girl,1988,6.7,113,Comedy,R
Crocodile Dundee II,1988,5.5,108,Action,PG
The Land Before Time,1988,7.4,69,Animation,G
Twins,1988,6,107,Comedy,PG
Dangerous Liaisons,1988,7.7,119,Drama,R
The Unbearable Lightness of Being,1988,7.4,171,Drama,R
The Big Blue,1988,7.6,168,Adventure,R
Beaches,1988,6.8,123,Comedy,PG-13
Halloween 4: The Return of Michael Myers,1988,5.9,88,Horror,R
Young Guns,1988,6.8,107,Action,R
Red Heat,1988,6,104,Action,R
Mystic Pizza,1988,6.2,104,Comedy,R
Rambo III,1988,5.7,102,Action,R
Acusados,1988,7.1,111,Drama,R
The Last Temptation of Christ,1988,7.6,164,Drama,R
Hairspray,1988,7,92,Comedy,PG
Dirty Rotten Scoundrels,1988,7.3,110,Comedy,PG
A Nightmare on Elm Street 4: The Dream Master,1988,5.7,93,Horror,R
Stand and Deliver,1988,7.3,103,Drama,PG
The Great Outdoors,1988,6.6,91,Comedy,PG
Two Moon Junction,1988,5,104,Drama,R
Bull Durham,1988,7.1,108,Comedy,R
Above the Law,1988,6,99,Action,R
Earth Girls Are Easy,1988,5.2,100,Comedy,PG
Oliver & Company,1988,6.7,74,Animation,G
The Dead Pool,1988,6.3,91,Action,R
Elvira: Mistress of the Dark,1988,6.4,96,Comedy,PG-13
Scrooged,1988,7,101,Comedy,PG-13
Tequila Sunrise,1988,6,115,Crime,R
Frantic,1988,6.9,120,Crime,R
Friday the 13th Part VII: The New Blood,1988,5.3,88,Horror,R
License to Drive,1988,6.3,88,Comedy,PG-13
The Adventures of Baron Munchausen,1988,7.2,126,Adventure,PG
Dead Ringers,1988,7.3,116,Drama,R
Poltergeist III,1988,4.6,98,Horror,PG-13
Fright Night Part 2,1988,5.9,104,Comedy,R
I'm Gonna Git You Sucka,1988,6.6,88,Action,R
Johnny Be Good,1988,4.5,91,Comedy,R
Maniac Cop,1988,6,85,Action,R
Married to the Mob,1988,6.1,104,Comedy,R
Colors,1988,6.7,120,Action,R
El Hotel de los Fantasmas,1988,5.7,99,Comedy,PG-13
Running on Empty,1988,7.7,116,Crime,PG-13
Night of the Demons,1988,6.3,90,Comedy,R
Mac and Me,1988,3.4,95,Adventure,PG
Critters 2,1988,5.3,86,Comedy,PG-13
My Stepmother Is an Alien,1988,5.2,105,Comedy,PG-13
Return of the Living Dead II,1988,5.8,89,Comedy,R
Short Circuit 2,1988,5.6,110,Comedy,PG
Gorillas in the Mist,1988,7,129,Biography,PG-13
Vampire's Kiss,1988,5.9,103,Comedy,R
A Night in the Life of Jimmy Reardon,1988,5.5,90,Comedy,R
Some Girls,1988,6,94,Comedy,R
The Lair of the White Worm,1988,5.9,93,Comedy,R
Waxwork,1988,6.2,95,Comedy,R
The Serpent and the Rainbow,1988,6.5,98,Fantasy,R
Las travesuras de una pelirojja,1988,5.9,100,Family,G
Eight Men Out,1988,7.3,119,Drama,PG
Lady in White,1988,6.7,113,Fantasy,PG-13
Women on the Verge of a Nervous Breakdown,1988,7.6,88,Comedy,R
She's Having a Baby,1988,5.8,106,Comedy,PG-13
Phantasm II,1988,6.5,97,Action,R
Luces de una gran ciudad,1988,5.6,107,Drama,R
The Presidio,1988,6,97,Action,R
Big Business,1988,6.3,97,Comedy,PG
Monkey Shines,1988,6.2,113,Drama,R
Funny Farm,1988,6.1,101,Comedy,PG
Without a Clue,1988,7,107,Comedy,PG
Alien Nation,1988,6.3,91,Action,R
1969,1988,5.8,95,Drama,R
976-EVIL,1988,5.1,92,Comedy,R
Action Jackson,1988,5.2,96,Action,R
The Milagro Beanfield War,1988,6.9,117,Comedy,R
Tucker: The Man and His Dream,1988,6.9,110,Biography,PG
Police Academy 5: Assignment: Miami Beach,1988,4.4,90,Comedy,PG
School Daze,1988,5.8,121,Comedy,R
Vice Versa,1988,5.8,98,Comedy,PG
Miracle Mile,1988,7,87,Action,R
Time of the Gypsies,1988,8.3,142,Comedy,R
The Accidental Tourist,1988,6.8,121,Drama,PG
Cocoon: The Return,1988,5.3,116,Adventure,PG
The Beast of War,1988,7.4,111,War,R
Apartment Zero,1988,6.9,124,Drama,R
The Seventh Sign,1988,5.9,97,Drama,R
Masquerade,1988,6,100,Drama,R
Another Woman,1988,7.4,81,Drama,PG
Bird,1988,7.2,161,Biography,R
Drowning by Numbers,1988,7.3,118,Comedy,R
A Cry in the Dark,1988,6.9,120,Drama,PG-13
Biloxi Blues,1988,6.6,106,Comedy,PG-13
Talk Radio,1988,7.3,110,Drama,R
The Bear,1988,7.7,96,Adventure,PG
Casual Sex?,1988,4.9,97,Comedy,R
Caddyshack II,1988,3.7,98,Comedy,PG
Vibes,1988,5.5,99,Adventure,PG
Shoot to Kill,1988,6.8,110,Action,R
For Keeps?,1988,5.9,90,Comedy,PG-13
Young Einstein,1988,5.1,91,Comedy,PG
Criminal Law,1988,5.7,117,Crime,R
Satisfaction,1988,4.8,92,Comedy,PG-13
Betrayed,1988,6.3,127,Drama,R
Clean and Sober,1988,6.7,124,Drama,R
Al borde del terror,1988,5.3,91,Action,R
Escorpion rojo,1988,5,105,Action,R
D.O.A.,1988,6.1,96,Mystery,R
Appointment with Death,1988,6.2,100,Crime,PG
Salaam Bombay!,1988,8,113,Crime,NOT RATED
Bat*21,1988,6.4,105,Drama,R
Return to Snowy River,1988,6.6,110,Adventure,PG
