Title	Year	Score	Runtime	Genre	Rating
Mustang: belleza salvaje, 	2015, 	7.7/10, 	97 minutes, 	Drama, 	PG-13

The Perfect Guy, 	2015, 	5.6/10, 	100 minutes, 	Drama, 	PG-13

Danny Collins, 	2015, 	7/10, 	106 minutes, 	Comedy, 	R

Synchronicity, 	2015, 	5.5/10, 	101 minutes, 	Drama, 	R

Ip Man 3, 	2015, 	7.1/10, 	105 minutes, 	Action, 	PG-13

The Peanuts Movie, 	2015, 	7.1/10, 	88 minutes, 	Animation, 	G

Jenny's Wedding, 	2015, 	5.5/10, 	94 minutes, 	Comedy, 	PG-13

Love the Coopers, 	2015, 	5.7/10, 	107 minutes, 	Comedy, 	PG-13

Desierto, 	2015, 	6/10, 	88 minutes, 	Drama, 	R

The Girl in the Book, 	2015, 	6.2/10, 	86 minutes, 	Drama, 	NOT RATED

Mr. Holmes, 	2015, 	6.9/10, 	104 minutes, 	Drama, 	PG

Krisha, 	2015, 	7.1/10, 	83 minutes, 	Drama, 	R

Dragon Blade, 	2015, 	6.1/10, 	127 minutes, 	Action, 	R

Manifesto, 	2015, 	7.2/10, 	95 minutes, 	Drama, 	NOT RATED

McFarland  USA, 	2015, 	7.4/10, 	129 minutes, 	Biography, 	PG

Turbo Kid, 	2015, 	6.7/10, 	93 minutes, 	Action, 	UNRATED

The Lure, 	2015, 	6.3/10, 	92 minutes, 	Comedy, 	NOT RATED

Maggie's Plan, 	2015, 	6.2/10, 	98 minutes, 	Comedy, 	R

The Lazarus Effect, 	2015, 	5.2/10, 	83 minutes, 	Horror, 	PG-13

Baahubali: The Beginning, 	2015, 	8.2/10, 	159 minutes, 	Action, 	Not specified

Remember, 	2015, 	7.4/10, 	94 minutes, 	Drama, 	R

Max, 	2015, 	6.8/10, 	111 minutes, 	Adventure, 	PG

Suffragette, 	2015, 	6.9/10, 	106 minutes, 	Biography, 	PG-13

Jem and the Holograms, 	2015, 	4.1/10, 	118 minutes, 	Adventure, 	PG

Ricki and the Flash, 	2015, 	6/10, 	101 minutes, 	Comedy, 	PG-13

Girl Asleep, 	2015, 	6.2/10, 	77 minutes, 	Comedy, 	Not specified

Z for Zachariah, 	2015, 	6/10, 	98 minutes, 	Drama, 	PG-13

Mistress America, 	2015, 	6.7/10, 	84 minutes, 	Comedy, 	R

Drishyam, 	2015, 	8.4/10, 	163 minutes, 	Crime, 	NOT RATED

Conspiraci?n y poder, 	2015, 	6.8/10, 	125 minutes, 	Biography, 	R

War Room, 	2015, 	6.4/10, 	120 minutes, 	Drama, 	PG

Maggie, 	2015, 	5.6/10, 	95 minutes, 	Drama, 	PG-13

Our Brand Is Crisis, 	2015, 	6.1/10, 	107 minutes, 	Comedy, 	R

Hot Pursuit, 	2015, 	5.1/10, 	87 minutes, 	Action, 	PG-13

Hello  My Name Is Doris, 	2015, 	6.7/10, 	90 minutes, 	Comedy, 	R

The Overnight, 	2015, 	6.1/10, 	79 minutes, 	Comedy, 	R

Blackway, 	2015, 	5.2/10, 	90 minutes, 	Thriller, 	R

Alvin and the Chipmunks: The Road Chip, 	2015, 	5.1/10, 	100 minutes, 	Animation, 	PG

Born to Be Blue, 	2015, 	6.9/10, 	97 minutes, 	Biography, 	R

Blackhat, 	2015, 	5.4/10, 	133 minutes, 	Crime, 	R

Tangerine, 	2015, 	7/10, 	88 minutes, 	Comedy, 	R

The Sea of Trees, 	2015, 	5.9/10, 	110 minutes, 	Drama, 	PG-13

The SpongeBob Movie: Sponge Out of Water, 	2015, 	6/10, 	92 minutes, 	Animation, 	PG

Los 33, 	2015, 	6.9/10, 	127 minutes, 	Biography, 	PG-13

A Walk in the Woods, 	2015, 	6.3/10, 	104 minutes, 	Adventure, 	R

Poltergeist, 	2015, 	4.9/10, 	93 minutes, 	Horror, 	PG-13

The Bronze, 	2015, 	6/10, 	100 minutes, 	Comedy, 	R

El principito, 	2015, 	7.8/10, 	108 minutes, 	Animation, 	PG

Sinister 2, 	2015, 	5.3/10, 	97 minutes, 	Horror, 	R

Trumbo, 	2015, 	7.5/10, 	124 minutes, 	Biography, 	R

Mortdecai, 	2015, 	5.5/10, 	107 minutes, 	Action, 	R

La ?ltima ola, 	2015, 	6.7/10, 	105 minutes, 	Action, 	R

The Boy Next Door, 	2015, 	4.7/10, 	91 minutes, 	Mystery, 	R

The Gunman, 	2015, 	5.8/10, 	115 minutes, 	Action, 	R

Irrational Man, 	2015, 	6.6/10, 	95 minutes, 	Comedy, 	R

Project Almanac, 	2015, 	6.4/10, 	106 minutes, 	Sci-Fi, 	PG-13

Anomalisa, 	2015, 	7.2/10, 	90 minutes, 	Animation, 	R

Into the Forest, 	2015, 	5.9/10, 	101 minutes, 	Drama, 	R

Woman in Gold, 	2015, 	7.3/10, 	109 minutes, 	Biography, 	PG-13

American Ultra, 	2015, 	6.1/10, 	100 minutes, 	Action, 	R

Tale of Tales, 	2015, 	6.4/10, 	134 minutes, 	Drama, 	R

Sisters, 	2015, 	6/10, 	118 minutes, 	Comedy, 	R

Beasts of No Nation, 	2015, 	7.8/10, 	137 minutes, 	Drama, 	NOT RATED

We Are Your Friends, 	2015, 	6.2/10, 	96 minutes, 	Drama, 	R

The Man Who Knew Infinity, 	2015, 	7.2/10, 	108 minutes, 	Biography, 	PG-13

The Wedding Ringer, 	2015, 	6.7/10, 	101 minutes, 	Comedy, 	R

Equals, 	2015, 	6/10, 	101 minutes, 	Drama, 	PG-13

Eye in the Sky, 	2015, 	7.3/10, 	102 minutes, 	Drama, 	R

Frente al mar, 	2015, 	5.2/10, 	122 minutes, 	Drama, 	R

Far from the Madding Crowd, 	2015, 	7.1/10, 	119 minutes, 	Drama, 	PG-13

A Bigger Splash, 	2015, 	6.4/10, 	125 minutes, 	Drama, 	R

