Title	Year	Score	Runtime	Genre	Rating
Dirty Dancing, 	1987, 	6.9/10, 	100 minutes, 	Drama, 	PG-13

The Lost Boys, 	1987, 	7.3/10, 	97 minutes, 	Comedy, 	R

Predator, 	1987, 	7.8/10, 	107 minutes, 	Action, 	R

The Running Man, 	1987, 	6.6/10, 	101 minutes, 	Action, 	R

Spaceballs, 	1987, 	7.1/10, 	96 minutes, 	Adventure, 	PG

RoboCop, 	1987, 	7.5/10, 	102 minutes, 	Action, 	R

Lethal Weapon, 	1987, 	7.6/10, 	110 minutes, 	Action, 	R

The Untouchables, 	1987, 	7.9/10, 	119 minutes, 	Crime, 	R

Evil Dead II, 	1987, 	7.8/10, 	84 minutes, 	Comedy, 	R

Masters of the Universe, 	1987, 	5.4/10, 	106 minutes, 	Action, 	PG

The Monster Squad, 	1987, 	7.2/10, 	82 minutes, 	Action, 	PG-13

Fatal Attraction, 	1987, 	6.9/10, 	119 minutes, 	Drama, 	R

The Living Daylights, 	1987, 	6.7/10, 	130 minutes, 	Action, 	PG

Wall Street, 	1987, 	7.4/10, 	126 minutes, 	Crime, 	R

Empire of the Sun, 	1987, 	7.8/10, 	153 minutes, 	Drama, 	PG

Can't Buy Me Love, 	1987, 	6.7/10, 	94 minutes, 	Comedy, 	PG-13

The Witches of Eastwick, 	1987, 	6.5/10, 	118 minutes, 	Comedy, 	R

Summer School, 	1987, 	6.5/10, 	97 minutes, 	Comedy, 	PG-13

A Nightmare on Elm Street 3: Dream Warriors, 	1987, 	6.6/10, 	96 minutes, 	Action, 	R

Adventures in Babysitting, 	1987, 	6.9/10, 	102 minutes, 	Action, 	PG-13

Hamburger Hill, 	1987, 	6.7/10, 	110 minutes, 	Action, 	R

Jaws: The Revenge, 	1987, 	2.9/10, 	89 minutes, 	Adventure, 	PG-13

Over the Top, 	1987, 	5.7/10, 	93 minutes, 	Action, 	PG

Planes  Trains & Automobiles, 	1987, 	7.6/10, 	93 minutes, 	Comedy, 	R

Raising Arizona, 	1987, 	7.4/10, 	94 minutes, 	Comedy, 	PG-13

Angel Heart, 	1987, 	7.3/10, 	113 minutes, 	Horror, 	R

Some Kind of Wonderful, 	1987, 	7.1/10, 	95 minutes, 	Drama, 	PG-13

Mannequin, 	1987, 	5.8/10, 	90 minutes, 	Comedy, 	PG

Overboard, 	1987, 	6.8/10, 	106 minutes, 	Comedy, 	PG

Innerspace, 	1987, 	6.8/10, 	120 minutes, 	Action, 	PG

Moonstruck, 	1987, 	7.1/10, 	102 minutes, 	Comedy, 	PG

Beverly Hills Cop II, 	1987, 	6.5/10, 	100 minutes, 	Action, 	R

Harry and the Hendersons, 	1987, 	5.9/10, 	110 minutes, 	Comedy, 	PG

The Last Emperor, 	1987, 	7.8/10, 	163 minutes, 	Biography, 	PG-13

Good Morning  Vietnam, 	1987, 	7.3/10, 	121 minutes, 	Biography, 	R

Maurice, 	1987, 	7.7/10, 	140 minutes, 	Drama, 	R

3 Men and a Baby, 	1987, 	5.9/10, 	102 minutes, 	Comedy, 	PG

Prince of Darkness, 	1987, 	6.7/10, 	102 minutes, 	Horror, 	R

La Bamba, 	1987, 	6.8/10, 	108 minutes, 	Biography, 	PG-13

Near Dark, 	1987, 	7/10, 	94 minutes, 	Action, 	R

Wings of Desire, 	1987, 	8.1/10, 	128 minutes, 	Drama, 	PG-13

Less Than Zero, 	1987, 	6.4/10, 	98 minutes, 	Crime, 	R

No Way Out, 	1987, 	7.1/10, 	114 minutes, 	Action, 	R

*batteries not included, 	1987, 	6.6/10, 	106 minutes, 	Comedy, 	PG

